Bin,Height_km,N_Samples,R2,RMSE_dBZ,Bias_dBZ
16,16.51,215,0.3784,16.0723,-13.6054
17,16.27,360,0.423,11.5426,-8.7506
18,16.03,474,0.4699,9.795,-6.7141
19,15.79,562,0.4789,9.1018,-6.0204
20,15.54,734,0.4724,8.7021,-5.4414
21,15.3,1042,0.5288,8.2525,-5.2523
22,15.06,1360,0.5354,7.8838,-4.7283
23,14.81,1714,0.5391,7.6517,-4.2882
24,14.57,2142,0.5653,7.2997,-3.8695
25,14.33,2730,0.5996,7.0247,-3.6967
26,14.09,3381,0.6134,6.8071,-3.4446
27,13.84,4125,0.6171,6.5882,-3.1211
28,13.6,4913,0.6022,6.6105,-2.9901
29,13.36,5719,0.6012,6.5958,-2.9118
30,13.11,6411,0.5893,6.6558,-2.7971
31,12.87,7151,0.5804,6.7089,-2.6653
32,12.63,7778,0.569,6.8117,-2.5901
33,12.39,8227,0.5593,6.9095,-2.5389
34,12.14,8592,0.5576,6.957,-2.4179
35,11.9,8866,0.5441,7.1438,-2.3916
36,11.66,9073,0.5447,7.2664,-2.4824
37,11.41,9290,0.5337,7.4923,-2.4928
38,11.17,9439,0.5222,7.7513,-2.5619
39,10.93,9588,0.5209,7.9337,-2.6427
40,10.69,9760,0.5245,8.1087,-2.7829
41,10.44,9962,0.5261,8.2976,-3.0145
42,10.2,10255,0.5291,8.4837,-3.2301
43,9.96,10538,0.5305,8.6473,-3.4024
44,9.71,10843,0.5268,8.7394,-3.4296
45,9.47,11048,0.5184,8.8084,-3.4089
46,9.23,11256,0.51,8.9429,-3.4832
47,8.99,11510,0.5025,9.1284,-3.5148
48,8.74,11646,0.4905,9.2903,-3.4349
49,8.5,11750,0.4824,9.3594,-3.2957
50,8.26,11840,0.4654,9.5462,-3.2761
51,8.01,11922,0.4525,9.7361,-3.3083
52,7.77,11902,0.4414,9.8833,-3.2779
53,7.53,11947,0.4299,10.0449,-3.178
54,7.29,11909,0.4037,10.4199,-3.287
55,7.04,11849,0.3881,10.7003,-3.3618
56,6.8,11703,0.3801,10.8506,-3.4516
57,6.56,11589,0.371,11.0464,-3.5252
58,6.31,11433,0.3593,11.2994,-3.7988
59,6.07,11218,0.3566,11.4673,-4.0152
60,5.83,10999,0.3445,11.6847,-4.1897
61,5.59,10765,0.3315,11.865,-4.2659
62,5.34,10543,0.3016,12.1325,-4.2673
63,5.1,10319,0.28,12.3923,-4.2287
64,4.86,10026,0.265,12.7055,-4.32
65,4.61,9783,0.2527,12.8775,-4.234
66,4.37,9644,0.2622,12.7415,-4.2426
67,4.13,9642,0.2583,12.651,-4.1395
68,3.89,9761,0.2593,12.5569,-4.103
69,3.64,9832,0.2559,12.4734,-4.1356
70,3.4,9949,0.2503,12.3992,-4.1565
71,3.16,10175,0.245,12.442,-4.2272
72,2.91,10404,0.2349,12.5346,-4.3907
73,2.67,10543,0.2274,12.4827,-4.4437
74,2.43,10804,0.2225,12.3828,-4.5013
75,2.19,11237,0.2272,12.1829,-4.5184
76,1.94,11396,0.2102,12.0415,-4.5496
77,1.7,11178,0.1773,12.0263,-4.6679
78,1.46,10709,0.1391,12.0679,-4.7776
79,1.21,9931,0.109,12.2348,-5.2288
80,0.97,8622,0.0736,12.7171,-6.3148
81,0.73,6599,0.0322,13.455,-8.3368
82,0.49,2632,0.0003,18.8825,-16.1074
